subscriberId,campaignType,tenureMonths,monthlyDataUsageGb,monthlyVoiceMinutes,monthlySpendTry,currentTariff,pastAcceptedOffers,pastDeclinedOffers,complaintCount6m,usageTrend,trueConversionProbability,converted
SUB-0001,EK_PAKET,8,19.6,502,165.86,EKONOMIK,0,1,1,0.651,0.469,0
SUB-0001,TARIFE_YUKSELTME,8,19.6,502,165.86,EKONOMIK,0,1,1,0.651,0.735,1
SUB-0001,CIHAZ_FIRSATI,8,19.6,502,165.86,EKONOMIK,0,1,1,0.651,0.4124,1
SUB-0001,SADAKAT,8,19.6,502,165.86,EKONOMIK,0,1,1,0.651,0.5437,1
SUB-0002,EK_PAKET,66,15.15,340,275.28,STANDART,9,2,1,0.522,0.7684,1
SUB-0002,TARIFE_YUKSELTME,66,15.15,340,275.28,STANDART,9,2,1,0.522,0.7567,1
SUB-0002,CIHAZ_FIRSATI,66,15.15,340,275.28,STANDART,9,2,1,0.522,0.9715,1
SUB-0002,SADAKAT,66,15.15,340,275.28,STANDART,9,2,1,0.522,0.99,1
SUB-0003,EK_PAKET,55,7.0,486,492.06,PREMIUM,3,6,0,0.691,0.5846,0
SUB-0003,TARIFE_YUKSELTME,55,7.0,486,492.06,PREMIUM,3,6,0,0.691,0.3998,0
SUB-0003,CIHAZ_FIRSATI,55,7.0,486,492.06,PREMIUM,3,6,0,0.691,0.949,1
SUB-0003,SADAKAT,55,7.0,486,492.06,PREMIUM,3,6,0,0.691,0.8423,1
SUB-0004,EK_PAKET,37,11.8,689,189.92,EKONOMIK,3,3,0,-0.307,0.399,1
SUB-0004,TARIFE_YUKSELTME,37,11.8,689,189.92,EKONOMIK,3,3,0,-0.307,0.5615,0
SUB-0004,CIHAZ_FIRSATI,37,11.8,689,189.92,EKONOMIK,3,3,0,-0.307,0.6481,0
SUB-0004,SADAKAT,37,11.8,689,189.92,EKONOMIK,3,3,0,-0.307,0.7513,0
SUB-0005,EK_PAKET,37,13.22,554,315.38,STANDART,6,0,0,0.369,0.818,1
SUB-0005,TARIFE_YUKSELTME,37,13.22,554,315.38,STANDART,6,0,0,0.369,0.938,1
SUB-0005,CIHAZ_FIRSATI,37,13.22,554,315.38,STANDART,6,0,0,0.369,0.8577,1
SUB-0005,SADAKAT,37,13.22,554,315.38,STANDART,6,0,0,0.369,0.99,1
SUB-0006,EK_PAKET,73,30.13,520,589.56,PREMIUM,7,5,0,-0.203,0.8798,1
SUB-0006,TARIFE_YUKSELTME,73,30.13,520,589.56,PREMIUM,7,5,0,-0.203,0.5136,0
SUB-0006,CIHAZ_FIRSATI,73,30.13,520,589.56,PREMIUM,7,5,0,-0.203,0.8001,1
SUB-0006,SADAKAT,73,30.13,520,589.56,PREMIUM,7,5,0,-0.203,0.9128,1
SUB-0007,EK_PAKET,8,4.73,389,254.32,STANDART,1,0,0,0.129,0.4819,0
SUB-0007,TARIFE_YUKSELTME,8,4.73,389,254.32,STANDART,1,0,0,0.129,0.5592,1
SUB-0007,CIHAZ_FIRSATI,8,4.73,389,254.32,STANDART,1,0,0,0.129,0.5856,1
SUB-0007,SADAKAT,8,4.73,389,254.32,STANDART,1,0,0,0.129,0.6839,0
SUB-0008,EK_PAKET,59,13.1,218,510.47,PREMIUM,7,2,0,-0.396,0.5903,1
SUB-0008,TARIFE_YUKSELTME,59,13.1,218,510.47,PREMIUM,7,2,0,-0.396,0.2724,1
SUB-0008,CIHAZ_FIRSATI,59,13.1,218,510.47,PREMIUM,7,2,0,-0.396,0.99,1
SUB-0008,SADAKAT,59,13.1,218,510.47,PREMIUM,7,2,0,-0.396,0.762,1
SUB-0009,EK_PAKET,17,19.54,130,312.73,STANDART,1,1,0,-0.176,0.6216,1
SUB-0009,TARIFE_YUKSELTME,17,19.54,130,312.73,STANDART,1,1,0,-0.176,0.6552,1
SUB-0009,CIHAZ_FIRSATI,17,19.54,130,312.73,STANDART,1,1,0,-0.176,0.5799,1
SUB-0009,SADAKAT,17,19.54,130,312.73,STANDART,1,1,0,-0.176,0.4577,0
SUB-0010,EK_PAKET,8,27.99,272,477.21,STANDART,0,1,3,-0.427,0.459,1
SUB-0010,TARIFE_YUKSELTME,8,27.99,272,477.21,STANDART,0,1,3,-0.427,0.4307,0
