subscriberId,firstName,tenureMonths,monthlyDataUsageGb,monthlyVoiceMinutes,monthlySpendTry,currentTariff,pastAcceptedOffers,pastDeclinedOffers,complaintCount6m,usageTrend,segment
SUB-0001,Onur,8,19.6,502,165.86,EKONOMIK,0,1,1,0.651,PASIF
SUB-0002,Fatma,66,15.15,340,275.28,STANDART,9,2,1,0.522,RISKLI_KAYIP
SUB-0003,Murat,55,7.0,486,492.06,PREMIUM,3,6,0,0.691,YUKSEK_DEGER
SUB-0004,Hatice,37,11.8,689,189.92,EKONOMIK,3,3,0,-0.307,PASIF
SUB-0005,Zeynep,37,13.22,554,315.38,STANDART,6,0,0,0.369,YUKSEK_DEGER
SUB-0006,Selin,73,30.13,520,589.56,PREMIUM,7,5,0,-0.203,YUKSEK_DEGER
SUB-0007,Onur,8,4.73,389,254.32,STANDART,1,0,0,0.129,PASIF
SUB-0008,Büşra,59,13.1,218,510.47,PREMIUM,7,2,0,-0.396,YUKSEK_DEGER
SUB-0009,Onur,17,19.54,130,312.73,STANDART,1,1,0,-0.176,YUKSEK_DEGER
SUB-0010,Özlem,8,27.99,272,477.21,STANDART,0,1,3,-0.427,RISKLI_KAYIP
SUB-0011,Selin,45,6.73,394,162.19,EKONOMIK,2,5,0,0.364,PASIF
SUB-0012,Ali,82,8.3,433,552.81,PREMIUM,6,7,1,0.25,YUKSEK_DEGER
SUB-0013,Derya,62,17.26,780,318.09,STANDART,2,8,0,0.147,YENI_ABONE
SUB-0014,Emre,64,2.95,367,265.85,STANDART,5,5,2,-0.583,YUKSEK_DEGER
SUB-0015,Emine,61,13.97,620,294.33,STANDART,1,9,1,-0.139,RISKLI_KAYIP
SUB-0016,Hatice,67,36.84,102,319.7,STANDART,4,7,1,-0.291,YUKSEK_DEGER
SUB-0017,Özlem,44,14.95,507,272.16,STANDART,2,5,0,0.354,YENI_ABONE
SUB-0018,Ayşe,11,1.24,481,193.14,STANDART,0,1,1,0.382,PASIF
SUB-0019,Kerem,71,5.77,1014,415.97,PREMIUM,1,10,1,0.34,PASIF
SUB-0020,Emine,38,6.89,340,243.21,STANDART,3,3,2,-0.374,RISKLI_KAYIP
SUB-0021,Mehmet,43,22.41,329,413.83,STANDART,4,3,1,-0.989,RISKLI_KAYIP
SUB-0022,Hüseyin,32,9.95,692,162.99,EKONOMIK,1,4,1,-0.648,RISKLI_KAYIP
SUB-0023,Derya,16,2.32,141,322.05,STANDART,1,1,5,0.148,RISKLI_KAYIP
SUB-0024,Emine,78,10.76,497,324.88,STANDART,0,13,2,-0.25,RISKLI_KAYIP
SUB-0025,Meryem,66,12.3,134,206.66,EKONOMIK,7,4,0,-0.213,YUKSEK_DEGER
SUB-0026,Kerem,55,7.59,1324,118.1,EKONOMIK,4,5,0,0.625,PASIF
SUB-0027,Ayşe,34,5.01,294,303.48,STANDART,2,3,0,0.493,PASIF
SUB-0028,Büşra,70,39.28,125,465.9,STANDART,0,11,0,0.059,YUKSEK_DEGER
SUB-0029,Emine,46,19.58,270,325.02,STANDART,3,4,0,-0.053,YUKSEK_DEGER
SUB-0030,Selin,38,20.7,500,235.55,EKONOMIK,5,1,1,-0.076,YUKSEK_DEGER
SUB-0031,Zeynep,38,9.96,606,187.49,EKONOMIK,0,6,1,0.05,PASIF
SUB-0032,Ali,20,6.64,978,127.92,EKONOMIK,0,3,1,0.53,RISKLI_KAYIP
SUB-0033,Büşra,8,7.87,243,250.5,STANDART,0,1,0,0.198,YENI_ABONE
SUB-0034,Kerem,47,3.65,715,449.06,PREMIUM,2,5,1,0.224,YENI_ABONE
SUB-0035,Onur,75,29.77,75,257.44,EKONOMIK,3,9,2,0.299,RISKLI_KAYIP
SUB-0036,Selin,6,10.26,164,319.23,STANDART,0,1,1,-0.439,RISKLI_KAYIP
SUB-0037,Ahmet,73,25.68,105,203.86,EKONOMIK,5,7,3,0.074,RISKLI_KAYIP
SUB-0038,Zeynep,70,8.16,207,157.77,EKONOMIK,2,9,3,-0.293,RISKLI_KAYIP
SUB-0039,Hüseyin,24,15.1,692,210.75,EKONOMIK,3,1,1,-0.911,RISKLI_KAYIP
SUB-0040,Murat,54,12.77,248,202.19,EKONOMIK,6,3,1,-0.775,RISKLI_KAYIP
SUB-0041,Hatice,14,3.31,290,336.98,STANDART,1,1,1,-0.386,PASIF
SUB-0042,Ahmet,64,32.1,510,675.55,PREMIUM,1,9,0,0.236,YUKSEK_DEGER
SUB-0043,Zeynep,59,8.34,588,117.49,EKONOMIK,3,6,1,0.01,PASIF
SUB-0044,Elif,30,4.36,297,346.94,STANDART,2,3,1,0.035,PASIF
SUB-0045,Mustafa,6,17.34,163,316.81,STANDART,0,1,3,0.493,RISKLI_KAYIP
SUB-0046,Fatma,82,11.16,1183,572.01,PREMIUM,10,3,1,-0.474,YUKSEK_DEGER
SUB-0047,Ali,38,14.2,299,326.63,STANDART,2,4,1,-0.04,RISKLI_KAYIP
SUB-0048,Meryem,76,11.96,324,157.33,EKONOMIK,9,3,0,0.157,YUKSEK_DEGER
SUB-0049,Hatice,57,1.4,358,193.98,STANDART,2,7,1,-0.288,PASIF
SUB-0050,Fatma,66,5.61,633,138.39,EKONOMIK,3,8,1,-0.02,PASIF
SUB-0051,Meryem,64,5.43,97,442.08,PREMIUM,4,6,2,-0.67,RISKLI_KAYIP
